Song,Artist,First_Week
TKO,IVE,2025-02-07
ATTITUDE,IVE,2025-02-07
Thank U,IVE,2025-02-07
You Wanna Cry,IVE,2025-02-07
FLU,IVE,2025-02-07
REBEL HEART,IVE,2025-02-07
Mad Season,Matchbox Twenty,2025-02-14
Bright Lights,Matchbox Twenty,2025-02-14
Disease,Matchbox Twenty,2025-02-14
The Trouble with Love Is,Kelly Clarkson,2025-02-14
Low,Kelly Clarkson,2025-02-14
Miss Independent,Kelly Clarkson,2025-02-14
Beautiful Disaster,Kelly Clarkson,2025-02-14
A Moment Like This,Kelly Clarkson,2025-02-14
Before Your Love,Kelly Clarkson,2025-02-14
State of Grace (Acoustic Version) (Taylor's Version),Taylor Swift,2025-02-14
Piece by Piece,Kelly Clarkson,2025-02-14
Invincible,Kelly Clarkson,2025-02-14
Heartbeat Song,Kelly Clarkson,2025-02-14
These Hard Times,Matchbox Twenty,2025-02-14
Hang,Matchbox Twenty,2025-02-14
Back 2 Good,Matchbox Twenty,2025-02-14
Long Day,Matchbox Twenty,2025-02-14
Our Song,Matchbox Twenty,2025-02-14
Overjoyed,Matchbox Twenty,2025-02-14
Put Your Hands Up,Matchbox Twenty,2025-02-14
One Minute,Kelly Clarkson,2025-02-14
Sober,Kelly Clarkson,2025-02-14
Never Again,Kelly Clarkson,2025-02-14
Behind These Hazel Eyes,Kelly Clarkson,2025-02-14
I Do Not Hook Up,Kelly Clarkson,2025-02-14
Feeling This,blink-182,2025-02-21
Always,blink-182,2025-02-21
The Static Age,Green Day,2025-02-21
She's out of Her Mind,blink-182,2025-02-21
East Jesus Nowhere,Green Day,2025-02-21
State of Grace (Taylor's Version),Taylor Swift,2025-02-21
Treacherous (Taylor's Version),Taylor Swift,2025-02-21
22 (Taylor's Version),Taylor Swift,2025-02-21
I Knew You Were Trouble (Taylor's Version),Taylor Swift,2025-02-21
Extraordinary Girl,Green Day,2025-02-21
Suffocate,Green Day,2025-02-21
Welcome to the Black Parade,My Chemical Romance,2025-02-21
The Sharpest Lives,My Chemical Romance,2025-02-21
Shut Up and Dance,Walk the Moon,2025-02-28
Moves Like Jagger - Studio Recording From The Voice Performance,Maroon 5,2025-02-28
Jealous,Nick Jonas,2025-02-28
Funeral (feat. James Bay),Maisie Peters,2025-02-28
I Miss You,blink-182,2025-02-28
Obvious,blink-182,2025-02-28
Aliens Exist,blink-182,2025-02-28
hope ur ok,Olivia Rodrigo,2025-02-28
All I Want,Olivia Rodrigo,2025-02-28
lacy,Olivia Rodrigo,2025-02-28
1 step forward 3 steps back,Olivia Rodrigo,2025-02-28
Don't Leave Me,blink-182,2025-02-28
Forever & Always (Taylor’s Version),Taylor Swift,2025-02-28
Everything Has Changed (feat. Ed Sheeran) (Taylor’s Version),Taylor Swift,2025-02-28
Fearless (Taylor’s Version),Taylor Swift,2025-02-28
Pantomime,WJSN,2025-02-28
My Life Would Suck Without You,Kelly Clarkson,2025-02-28
Stronger (What Doesn't Kill You),Kelly Clarkson,2025-02-28
American Teenager,Ethel Cain,2025-02-28
Sick of Me,Green Day,2025-02-28
YES or YES,TWICE,2025-02-28
Never Grow Up,CG5,2025-02-28
Touchdown,TWICE,2025-02-28
lighthouse,Kelly Clarkson,2025-02-28
favorite kind of high,Kelly Clarkson,2025-02-28
Easy Target,blink-182,2025-03-07
Are We the Waiting,Green Day,2025-03-07
St. Jimmy,Green Day,2025-03-07
Holiday,Green Day,2025-03-07
ETA,NewJeans,2025-03-07
Stockholm Syndrome,blink-182,2025-03-07
Babe (Taylor's Version) (From the Vault),Taylor Swift,2025-03-07
Asthenia,blink-182,2025-03-07
I'm Not Okay (I Promise),My Chemical Romance,2025-03-07
BOYSHIT,Madison Beer,2025-03-07
Call Me When You Break Up (with Gracie Abrams),Selena Gomez,2025-03-07
I'm Lost Without You,blink-182,2025-03-07
Here's Your Letter,blink-182,2025-03-07
All of This,blink-182,2025-03-07
Go,blink-182,2025-03-07
The Fallen Interlude,blink-182,2025-03-07
Down,blink-182,2025-03-07
Stockholm Syndrome Interlude,blink-182,2025-03-07
Violence,blink-182,2025-03-07
CASE 143,Stray Kids,2025-03-07
Thinking of You,Katy Perry,2025-03-07
Complicated,Avril Lavigne,2025-03-07
My Happy Ending,Avril Lavigne,2025-03-07
The Only Exception,Paramore,2025-03-07
Won't Go Home Without You,Maroon 5,2025-03-07
Tócame (feat. Dillom),Six Sex,2025-03-14
Angry,Matchbox Twenty,2025-03-14
Bulletproof Heart,My Chemical Romance,2025-03-14
Warning,Green Day,2025-03-14
Crutch,Matchbox Twenty,2025-03-14
Black & White People,Matchbox Twenty,2025-03-14
Von dutch,Charli XCX,2025-03-14
Guess featuring billie eilish,Charli XCX,2025-03-14
Midnight Rain,Taylor Swift,2025-03-14
Sympathy is a knife featuring ariana grande,Charli xcx,2025-03-14
Bejeweled,Taylor Swift,2025-03-14
Anti-Hero,Taylor Swift,2025-03-14
If This Was a Movie (Taylor’s Version),Taylor Swift,2025-03-14
365,Charli xcx,2025-03-14
360,Charli xcx,2025-03-14
The Last Time (feat. Gary Lightbody of Snow Patrol) (Taylor’s Version),Taylor Swift,2025-03-14
Sad Beautiful Tragic (Taylor's Version),Taylor Swift,2025-03-14
Coffee,Jack Stauber's Micropop,2025-03-14
All Too Well (10 Minute Version) (Taylor's Version) (From the Vault),Taylor Swift,2025-03-14
Dark Side,Kelly Clarkson,2025-03-14
Come Back...Be Here (Taylor's Version),Taylor Swift,2025-03-14
Sports car,Tate McRae,2025-03-21
2 hands,Tate McRae,2025-03-21
Revolving Door,Tate McRae,2025-03-21
It's OK I'm OK,Tate McRae,2025-03-21
Miss Possessive,Tate McRae,2025-03-21
Purple Lace Bra,Tate McRae,2025-03-21
