Week,Position,Rise/Fall,Previous Rank,New Peak?,Re-peak?,Total Weighted Points,%,Song,Artist,Album,Streams,Sales,Airplay,Streams Points,Sales Points,Airplay Points,Streams Units,Sales Units,Airplay Units,Streams %,Sales %,Airplay %,Total Units,Current Week Points,Previous Week Points,Two Weeks Ago Points,Peak,WOC,Peak Streak,Album Cover
2026-02-20,84,RE,--,False,False,42,--,Getaway Car,Taylor Swift,reputation,5,5,1,25,15,2,6915562,1209,10865790,0.73,0.08,0.18,37114,42,0,0,6,30,2,https://lastfm.freetls.fastly.net/i/u/300x300/9112327c3b12a7ff648ad79eeea440a8.gif
2026-02-20,85,'-31,54,False,False,42,-0.39,locket theme,Madison Beer,locket,4,4,1,5,3,2,1533262,268,12040470,0.42,0.05,0.53,11214,10,20,12,47,5,1,https://lastfm.freetls.fastly.net/i/u/300x300/023ac76bfb2539febd354f53e98046b2.png
2026-02-20,86,RE,--,False,False,41,--,Miss possessive,Tate McRae,So Close to What,4,4,1,20,12,2,5763450,1008,11317590,0.7,0.08,0.22,31626,34,0,7,3,30,1,https://lastfm.freetls.fastly.net/i/u/300x300/2c927d26b092260dee2e79d4864c1de7.png
2026-02-20,87,'+4,91,False,False,39,0.11,Fortnight (feat. Post Malone),Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,3,2,1,10,6,2,2616075,457,10278450,0.58,0.06,0.36,15960,18,10,11,9,27,1,https://lastfm.freetls.fastly.net/i/u/300x300/3e9934e3815f2949acc34415d8931aea.jpg
2026-02-20,88,'-22,66,False,False,38,-0.21,Who’s Afraid of Little Old Me?,Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,3,2,1,10,6,2,2835525,495,11136870,0.58,0.06,0.36,17290,18,14,6,6,26,1,https://lastfm.freetls.fastly.net/i/u/300x300/3e9934e3815f2949acc34415d8931aea.jpg
2026-02-20,89,'-3,86,False,False,37,-0.03,The Bolter,Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,4,2,1,10,6,2,2766225,483,10865790,0.58,0.06,0.36,16870,18,11,8,7,42,1,https://lastfm.freetls.fastly.net/i/u/300x300/3e9934e3815f2949acc34415d8931aea.jpg
2026-02-20,90,'-60,30,False,False,37,-0.7,DEJAVU,TWICE,Summer Nights,4,4,0,0,0,0,0,0,0,0,0,0,0,0,37,0,1,19,1,https://lastfm.freetls.fastly.net/i/u/300x300/86ac21ab36bbd416b225228745866bfe.jpg
2026-02-20,91,'-4,87,False,False,36,-0.03,Obvious,blink-182,blink-182,2,2,1,10,6,2,3141600,549,12334140,0.58,0.06,0.36,19145,18,11,7,5,27,2,https://lastfm.freetls.fastly.net/i/u/300x300/66f1cec75fe04b7c869712c55fd24528.png
2026-02-20,92,'-4,88,False,False,36,-0.03,I Miss You,blink-182,blink-182,2,2,1,10,6,2,2904825,508,11407950,0.58,0.06,0.36,17710,18,11,7,3,41,2,https://lastfm.freetls.fastly.net/i/u/300x300/66f1cec75fe04b7c869712c55fd24528.png
2026-02-20,93,'-35,58,False,False,35,-0.38,Love Drunk,Boys Like Girls,Love Drunk,2,2,1,5,3,2,1495725,261,11746800,0.42,0.05,0.53,10941,10,16,9,5,22,1,https://lastfm.freetls.fastly.net/i/u/300x300/46924f64b0604a7fb33075d69c0379f9.png
2026-02-20,94,'-47,47,False,False,35,-0.57,THIS IS FOR,TWICE,THIS IS FOR,3,2,1,0,0,0,0,0,0,0,0,0,0,0,24,11,3,26,1,https://lastfm.freetls.fastly.net/i/u/300x300/86bfdb49c71d5d763df0e5ef0685897b.jpg
2026-02-20,95,RE,--,False,False,34,--,Revolving door,Tate McRae,So Close to What,4,4,1,20,12,2,5336100,933,10481760,0.7,0.08,0.22,29295,34,0,0,3,25,3,https://lastfm.freetls.fastly.net/i/u/300x300/2c927d26b092260dee2e79d4864c1de7.png
2026-02-20,96,RE,--,False,False,34,--,Fast Times,Sabrina Carpenter,emails i can't send,4,4,1,20,12,2,6063750,1060,11904930,0.7,0.08,0.22,33264,34,0,0,4,14,1,https://lastfm.freetls.fastly.net/i/u/300x300/e4198cd6ab64b73da4a8387bb87c62d3.png
2026-02-20,97,RE,--,False,False,34,--,Enchanted,Taylor Swift,Speak Now (Deluxe Edition),4,4,1,20,12,2,5855850,1024,11498310,0.7,0.08,0.22,32130,34,0,0,24,5,1,https://lastfm.freetls.fastly.net/i/u/300x300/88b646daa5e6626399ccd002ba67e50d.jpg
2026-02-20,98,RE,--,False,False,34,--,Dear god,Tate McRae,So Close to What,4,4,1,20,12,2,6109950,1068,11995290,0.7,0.08,0.22,33516,34,0,0,2,17,2,https://lastfm.freetls.fastly.net/i/u/300x300/2c927d26b092260dee2e79d4864c1de7.png
2026-02-20,99,RE,--,False,False,34,--,bloodonmyhands (feat. Flo Milli),Tate McRae,So Close to What,4,4,1,20,12,2,6029100,1054,11837160,0.7,0.08,0.22,33075,34,0,0,3,26,1,https://lastfm.freetls.fastly.net/i/u/300x300/2c927d26b092260dee2e79d4864c1de7.png
2026-02-20,100,'-64,36,False,False,34,-0.71,SWEET TALKER,TWICE,What Is Love,4,4,0,0,0,0,0,0,0,0,0,0,0,0,34,0,18,7,1,https://lastfm.freetls.fastly.net/i/u/300x300/8c1442a7f8451ce95b1c1866dd1300fc.jpg
