Week,Position,Rise/Fall,Previous Rank,New Peak?,Re-peak?,Total Weighted Points,%,Song,Artist,Album,Streams,Sales,Airplay,Streams Points,Sales Points,Airplay Points,Streams Units,Sales Units,Airplay Units,Streams %,Sales %,Airplay %,Total Units,Current Week Points,Previous Week Points,Two Weeks Ago Points,Previous Week Raw Points,Two Weeks Ago Raw Points,Peak,WOC,Peak Streak,Album Cover
2026-03-27,18,'-3,15,False,False,195,-0.18,She Looks So Perfect,5 Seconds of Summer,5 Seconds of Summer,9,9,1,45,27,2,30948225,4942,10572120,0.86,0.09,0.05,147735,74,71,50,239,251,9,13,1,https://lastfm.freetls.fastly.net/i/u/300x300/cdd6ecd970739e3634f26b7472cfe273.jpg
2026-03-27,19,'+13,32,False,False,194,0.15,The Albatross,Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,15,13,3,75,39,6,34534500,4989,47167920,0.76,0.07,0.17,168406,120,50,24,168,122,15,28,1,https://lastfm.freetls.fastly.net/i/u/300x300/3e9934e3815f2949acc34415d8931aea.jpg
2026-03-27,20,'-3,17,False,False,194,-0.17,Crush,David Archuleta,David Archuleta,9,9,1,45,27,2,33139837,5292,11317590,0.86,0.09,0.05,158130,74,69,51,233,257,11,7,1,https://lastfm.freetls.fastly.net/i/u/300x300/46175fbf77644a42923d1dab3156b886.png
2026-03-27,21,'+3,24,False,False,194,-0.1,Deep Diving,After,After EP 2,8,8,1,40,24,2,32270700,5643,11520900,0.86,0.1,0.05,160965,66,64,64,215,323,3,6,2,https://lastfm.freetls.fastly.net/i/u/300x300/764cf72532e8eb727645d9a08e457a08.png
2026-03-27,22,'-2,20,False,False,191,-0.16,I'll Believe in Anything,Wolf Parade,Apologies to the Queen Mary,9,9,1,45,27,2,29591100,5175,11069100,0.85,0.1,0.05,147791,74,68,49,227,247,5,15,1,https://lastfm.freetls.fastly.net/i/u/300x300/f5d8d15658744ff0cf773f7adad2f437.png
2026-03-27,23,'+4,27,False,False,189,-0.08,The Field,After,After EP 2,8,8,1,40,24,2,33160050,5799,11837160,0.86,0.1,0.05,165375,66,61,62,206,313,5,6,3,https://lastfm.freetls.fastly.net/i/u/300x300/764cf72532e8eb727645d9a08e457a08.png
2026-03-27,24,'+5,29,False,False,188,-0.06,Baroque,After,After EP 2,8,8,1,40,24,2,27529425,4815,10301040,0.85,0.1,0.05,137557,66,60,62,200,313,3,6,1,https://lastfm.freetls.fastly.net/i/u/300x300/764cf72532e8eb727645d9a08e457a08.png
2026-03-27,25,'-3,22,False,False,185,-0.17,Cake by the Ocean,DNCE,DNCE,9,9,1,45,27,2,29539125,4932,10549530,0.86,0.09,0.05,144144,74,66,45,222,227,22,4,1,https://lastfm.freetls.fastly.net/i/u/300x300/3f189d15458e5f24735937059b3426f1.jpg
2026-03-27,26,'+4,30,False,False,182,-0.04,Where we are now,After,After EP 2,8,8,1,40,24,2,32622975,5704,12198600,0.85,0.1,0.05,162841,66,57,59,190,296,6,6,1,https://lastfm.freetls.fastly.net/i/u/300x300/764cf72532e8eb727645d9a08e457a08.png
2026-03-27,27,'+4,31,False,False,180,-0.05,Close your eyes,After,After EP 2,8,8,1,40,24,2,28317712,4953,10594710,0.85,0.1,0.05,141470,66,56,58,189,294,7,6,1,https://lastfm.freetls.fastly.net/i/u/300x300/764cf72532e8eb727645d9a08e457a08.png
2026-03-27,28,'-2,26,False,False,177,-0.15,Turn It Off,Paramore,brand new eyes,9,9,1,45,27,2,28135800,4687,10526940,0.86,0.09,0.05,137298,74,62,41,209,205,26,4,1,https://lastfm.freetls.fastly.net/i/u/300x300/8935ea2d777c8f2f5f3c7a8f521ea9fb.png
2026-03-27,29,'-20,9,False,False,172,-0.37,Around the World,Red Hot Chili Peppers,Californication (Deluxe Edition),11,11,1,55,33,2,29712375,5196,11114280,0.85,0.1,0.05,148393,90,82,0,274,0,9,2,1,https://lastfm.freetls.fastly.net/i/u/300x300/45dfde4f63a50f3aedeee21f3e9ed033.jpg
2026-03-27,30,'-20,10,False,False,169,-0.36,Parallel Universe,Red Hot Chili Peppers,Californication (Deluxe Edition),11,11,1,55,33,2,26680499,4667,10481760,0.85,0.1,0.05,133455,90,79,0,266,0,10,2,1,https://lastfm.freetls.fastly.net/i/u/300x300/45dfde4f63a50f3aedeee21f3e9ed033.jpg
2026-03-27,31,'+9,40,False,False,166,0.21,The Black Dog,Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,12,12,1,60,36,2,26334000,3915,20692440,0.82,0.08,0.1,125306,98,41,27,137,136,1,23,1,https://lastfm.freetls.fastly.net/i/u/300x300/3e9934e3815f2949acc34415d8931aea.jpg
2026-03-27,32,NEW,--,True,False,163,--,CRANK,Slayyyter,WOR$T GIRL IN AMERICA,22,15,4,110,45,8,30555525,3643,43643880,0.77,0.06,0.17,138908,163,0,0,0,0,32,1,1,https://lastfm.freetls.fastly.net/i/u/300x300/5fb948085ab415cbe3248727b7839386.png
2026-03-27,33,'-10,23,False,False,161,-0.25,Down,blink-182,blink-182,5,3,3,25,9,6,26403300,3848,34562700,0.77,0.07,0.16,128772,40,64,57,216,289,1,56,7,https://lastfm.freetls.fastly.net/i/u/300x300/66f1cec75fe04b7c869712c55fd24528.png
