Song Name,Artist Name,Image Link,2020-05-08,2020-05-15,2020-05-22,2020-05-29,2020-06-05,2020-06-19,2020-06-26,2020-07-03,2020-07-10,2020-07-17,2020-07-24,2020-07-31,2020-08-07,2020-08-14,2020-08-21,2020-08-28,2020-09-11,2020-09-18,2020-09-25,2020-10-02,2020-10-09,2020-10-16,2020-10-23,2020-10-30,2020-11-13,2020-11-27,2020-12-04,2020-12-11,2020-12-18,2021-01-01
Neon Lights,Demi Lovato,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,17,
New Romantics,Taylor Swift,,80,30,,16,,,,,,,,,,,,,,,,31,,,,,,,,,,
INCEPTION,ATEEZ,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,
That's My Girl,Fifth Harmony,,42,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Psycho,Red Velvet,,76,,,21,,20,,,,,,,,,,,,,53,,21,,,,,,,,,
Young and Beautiful,Lana Del Rey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,
Stronger,TWICE,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,
Black on Black,NCT 2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,
Black Magic,Little Mix,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,
Thinking of You,Katy Perry,,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rookie,Red Velvet,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,
Lover,Taylor Swift,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,
Milk and Cookies,Melanie Martinez,,,,,,,,5,,,,,,,,,,,,77,,,,,,,,,,,
Christmas Tree Farm,Taylor Swift,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,
Cruel Summer,Taylor Swift,,,,,,,,,,,,3,,7,,,,,,,7,,,,,,,,,,
FANCY,TWICE (트와이스),,,,,4,,,,,,,,,,,,,,,,23,,,,,,,,,,
다섯 번째 계절 (SSFWL),오마이걸 (OH MY GIRL),,74,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,
R.E.M,Ariana Grande,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,
Story of My Life,One Direction,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,
Monster,dodie,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,
This Is Why We Can't Have Nice Things,Taylor Swift,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,
IDGAF,Dua Lipa,,21,,,,,,,,,,,,,,,,21,,,,,,,,,,,,,
이루리 (As You Wish),WJSN (Cosmic Girls),,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,
Psycho ft. Nicki Minaj (Reloaded),Red Velvet,,,,,,,,,,,,,,,,,,,,,,,,,,,10,19,,,
Lights (Single Version),Ellie Goulding,,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cherry Bomb,NCT 127,,,,,,,,,,,5,,,,,,,19,,51,,,,,,,,,,,
MORE & MORE,TWICE,,,,,,6,5,,,,,,,,,,,,,,,,,,,,,,,,
Swimming Pool,Red Velvet,,,,,,,,6,,,,,,,,,,,,,,28,,,,,,,,,
Wheels on the Bus,Melanie Martinez,,96,,,,,,,,,,,,,,,,,,73,,,,,,,,,,,
Um Oh Ah Yeh,MAMAMOO,,31,,,,,,,,6,,,,,,,,,6,,,,,,,,,,,,
willow,Taylor Swift,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,
Detention,Melanie Martinez,,91,,,,,,,,,,,,,,,,,,83,,,,,,,,15,,,
marjorie,Taylor Swift,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
Tag You're It,Melanie Martinez,,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
So It Goes...,Taylor Swift,,15,29,,,,,,,,,,,,,,,,,,30,,,,,13,,,,,
Boyfriend,Selena Gomez,,72,,,,,,,,,,,,,,,,20,,67,,,,,,,,,,,
gold rush,Taylor Swift,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,
Skyscraper,Demi Lovato,,17,27,20,18,,,,,,,,,,,,,7,,,,,,,,,,,,,16
Zombie,DAY6,,,,2,,,,,,,,,,,,,,,,2,,,,,,,,,,,
Hollaback Girl,Gwen Stefani,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,
One Of These Nights (Piano Version),Red Velvet,,,,,,,,,,,,,,,,,,24,,86,,24,,,,,,,,,
Dance With the Devil,Katy Perry,,53,,,,,,,,,,,,,,,,,,82,,,,,,,,,,,
Simon Says,NCT 127,,,,,,,,,,,8,,,,,19,,,,,,,,,,,,,,,
Stupid Hoe,Nicki Minaj,,5,,,,,,,,,,,,,,,,,,34,,,,,,,,,,,
This Is How We Do,Katy Perry,,24,,,,,,,,,,,,,3,,,,,,,,,,,,,,25,,
어린 날개 (Young Wings),Stray Kids (스트레이 키즈),,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
밟힌 적 없는 길,Stray Kids (스트레이 키즈),,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,
Love Me or Leave Me,Little Mix,,,,,,,,,,,,,,,,14,,,,66,,,,,,,,,,13,
No Promises (feat. Demi Lovato),Cheat Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
Heart Attack,Demi Lovato,,,,4,,,,,,,,,,,,,,,,3,,,,,,,,,,,
LIKEY,TWICE (트와이스),,71,,,,,,,,,,,,,,,,,,,35,,,,,,,,,,
갑자기 분위기 싸해질 필요 없잖아요 (Awkward Silence),Stray Kids (스트레이 키즈),,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
벌써 12시 (GOTTA GO),Kim Chungha,,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Don’t Blame Me,Taylor Swift,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,
LP,Red Velvet,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,
Give Your Heart a Break,Demi Lovato,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,
seven,Taylor Swift,,,,,,,,,,,,7,,,,,,,,35,10,,,,,,,,,,18
Gorgeous,Taylor Swift,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,
YES OR YES,TWICE (트와이스),,,11,,,,,,,,,,,,,,,,,,4,,,,,,,,,,
Labyrinth,GFRIEND,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,
TT,TWICE (트와이스),,,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,
LIAR LIAR,오마이걸 (OH MY GIRL),,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,
Talk to Me,Red Velvet,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,
Stay With Me Babe (Bonus Track),LOOΠΔ,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,
Jumpin’,Red Velvet,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,29,,
Getaway Car,Taylor Swift,,20,28,,,,,,,,,,,,,,,,,,29,,,,,12,,,,,
Blank Space,Taylor Swift,,,,,,,13,,,,,,,,,,,,,,33,,,,,,,,,,
That's What You Get,Paramore,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,
BOSS,NCT U,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,15
Fancy (feat. Charli XCX),Iggy Azalea,,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Macavity,Taylor Swift,,13,,,,,,,,,,,,,,,,,,74,27,,,,,,,,,,
pete davidson,Ariana Grande,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,17
Rise,Katy Perry,,30,10,,,,,,,1,,,,,,,,,,,,,,,,,,,,,2
Dear Future Husband,Meghan Trainor,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,
peace,Taylor Swift,,,,,,,,,,,,,,,,,,,,,21,,,,,,,,,,24
What the Hell,Avril Lavigne,,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HALA HALA (Hearts Awakened Live Alive),ATEEZ,,,,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,
mirrorball,Taylor Swift,,,,,,,,,,,,8,,,,,,,,,12,,,,,,,,,,
Bad Boy,Red Velvet,,,,23,,,18,,,,,,,,,,,,,,,,,,,,,,,,
Wide Awake,Katy Perry,,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reggaeton Lento (Remix),CNCO feat. Little Mix,,,,,,,,,,,,,,,,,,,,38,,,,,,,,,,,10
Left & Right,Seventeen,,,,,,,,,,11,,,,,,,,,,,,,19,,,,,,,,
Down & Dirty,Little Mix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
오늘부터 우리는 (Me Gustas Tu),여자친구 (GFriend),,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dancing With Our Hands Tied,Taylor Swift,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,
So Good,Red Velvet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
the 1,Taylor Swift,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
Attaboy,Red Velvet,,,,,,,,,6,,,,,,,,,,,80,,23,,,,,,,,,
Should've Said No,Taylor Swift,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,
神메뉴 (God's Menu),Stray Kids,,,,,,,,,,,,,,,,,2,,,44,,,,,,,,,,,
힐링 (Healing),Seventeen,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,
Grown,Little Mix,,,,14,,,,,,,,,,,,5,,,,22,,,,,,,,,30,,
Oh (Yes I Am),이달의 소녀 (Loona),,,,,,,,,,,,,,,,,,,,39,,15,,,,,,,,,
Sixteen,OH MY GIRL,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,
TRICK IT,TWICE,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,
Holy Ground,Taylor Swift,,,,,,,,,,,,,,12,,,,,,,3,,,,,,,,,,
Circus,Britney Spears,,43,1,5,,,3,,,,,,,,,,,,,,,,,,,,,,24,,
Mine,Taylor Swift,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,
Bad Liar,Selena Gomez,,,,,,,,,,8,,,,13,,,,,,11,,,,,,,,,,,
바람 (Levanter),Stray Kids (스트레이 키즈),,55,,,,,,,,,,,,,,22,,,,,,,,,,,,,,,
Touch It,Ariana Grande,,,,,,,,,,7,,,,,,,,,,,,,21,,,,,,,,
Word Up!,Little Mix,,59,,,,,,,,,,,,,,,,17,,64,,,,,,,14,,,,
The Man,Taylor Swift,,,,,,,,,,,,,,16,,,,,,,6,,,,,,,,,,
Holiday,소녀시대,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,
시간이 안 지나가 (Walkin` In Time),THE BOYZ,,,,,,,,,,,,,,,,,,,,28,,,,,,,,1,,,
Be Natural (feat. 태용 TAEYONG),Red Velvet (레드벨벳),,26,,,23,,,,,,,,,,,,,,,,,25,,,,,,,,,
Answer,ATEEZ,,,,,,11,,,,,,,,,,,,,,21,,,,,,,,20,21,,
Look What You Made Me Do,Taylor Swift,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,
Break My Heart,Dua Lipa,,,18,,,13,,,,,,,,,,,,,2,,,,,,,,19,,26,,
MAKE ME GO,TWICE,,,,,,3,,,,,,,,,,2,,,,5,,,,,,,,,,,
FIESTA,IZ*ONE,,11,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What is Love?,TWICE (트와이스),,52,,,,,,,,,,,,,,,,,,,34,,,,,,,,,,
august,Taylor Swift,,,,,,,,,,,,6,,,,9,,,,25,26,,,,,,,,,,
Only The Young (Featured in Miss Americana),Taylor Swift,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30
Would You Be So Kind,dodie,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,
I Kissed a Girl,Katy Perry,,93,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
땡땡땡 (Ding Ding Dong),이달의 소녀 (Loona),,,,,,,,,,,,,,,,,,,,,,27,,,,,17,,,,
dal segno,이달의 소녀 yyxy (LOONA/yyxy),,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
Wake Me Up,Avicii,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,
Back Door,Stray Kids (스트레이 키즈),,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,
If U Seek Amy,Britney Spears,,45,4,11,,,,,,,,,,,,,,,,6,,,,,,,,,,,
Hear the Sea,Red Velvet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29
So What,이달의 소녀 (Loona),,,,,,14,,,,,,,,,,,,,,47,,16,,,,,,,,,
dal segno,LOONA/yyxy,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,
Really Don't Care (feat. Cher Lloyd),Demi Lovato,,,,,,,,,2,,,,,,,,,,,62,,,,,,,,,,,
A Song Written Easily,ONEUS,,,2,9,,,,,,,,,,,,,,,,4,,,,,,,,,,,
Punch,NCT 127,,,,,,,,,,,2,,,15,,,,,,12,,,,,,,4,,,,
Red Dress,Red Velvet,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,
boN ApPeTit,Katy Perry,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
