Song Name,Artist Name,Image Link,2021-01-01,2021-01-08,2021-01-15,2021-01-22,2021-01-29,2021-02-05,2021-02-12,2021-02-19,2021-02-26,2021-03-05,2021-03-12,2021-03-19,2021-03-26,2021-04-02,2021-04-09,2021-04-16,2021-04-23,2021-04-30,2021-05-07,2021-05-14,2021-05-21,2021-05-28,2021-06-04,2021-06-11,2021-06-18,2021-06-25,2021-07-02,2021-07-09,2021-07-16,2021-07-23,2021-07-30,2021-08-06,2021-08-13,2021-08-20,2021-08-27,2021-09-03,2021-09-10,2021-09-17,2021-09-24,2021-10-01,2021-10-08,2021-10-15,2021-10-22,2021-10-29,2021-11-05,2021-11-12,2021-11-19,2021-11-26,2021-12-03,2021-12-10,2021-12-17,2021-12-24,2021-12-31
Firework,Katy Perry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,83,
Conversation,TWICE,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,19,,,,,,,,,,,,,,,,,,9,,,
Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,
Would You Be So Kind,dodie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,33,,,,53,,43,37,,,,,,,,,,,,,
Deja Vu,Dreamcatcher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,
Good for You,Selena Gomez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,42,,,,,,,,,,,67,,
Best Song Ever,One Direction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,,,,,,,,,,,,,,,,,
SWEET TALKER,TWICE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,
Stay Stay Stay (Taylor's Version),Taylor Swift,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,46,,,39,91
The Best Day (Taylor’s Version),Taylor Swift,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,
Hair,Little Mix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40
Part of Me,Katy Perry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,51,,
TOUCH,NCT,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,,34,,,,,,,,,,56,,,,
Tell Me Why (Taylor’s Version),Taylor Swift,,,,,,,,,,,,,,,,9,9,,1,14,,,,24,18,,,,,,,,,,,,58,,,,,,,,,,,,51,,,,26,
So What,Loona,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,13,,,,,,,,,,,,,,,,,,,,28
For a Pessimist I'm Pretty Optimistic,Paramore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,
mad woman,Taylor Swift,,,,,,,,,,,,,,,20,,,,,,,,,,,,30,,56,,20,,,,,,,,,,,,46,,,,,,,,,,,
Still Into You,Paramore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,21,,21,,,,,,,,,,,,69,,
Begin Again,Taylor Swift,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,12,5,19,,10,21,,,,,,,
Pretty U,Seventeen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,
365,Zedd,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,
Liability,Lorde,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,67,,,,43,,,,,,,,,29,,,,,,,60,,,,,
Style,Taylor Swift,,,,,,,,,,,,,,,,,,,,23,,40,,,,,,,,,,35,,38,26,,35,66,,47,,28,44,47,21,,,,44,66,,,,
you,dodie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,54,,,,,,55,,,,,,,,,,
SUNSET,TWICE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,10,,11,,,,,,,,,,,,,,,,,44
happier,Olivia Rodrigo,,,,,,,,,,,,,,,,,,,,,,,10,18,,,36,,45,,,27,,,,,,,47,,,,,46,,,,,,,,,,64
PIRI,Dreamcatcher,,,,,,,,,,,,,,,,,,,,21,,27,,,,,,,,,,,52,,36,38,,,,,,,,,,,,,,,,,,
Better When I'm Dancin',Meghan Trainor,,,,,,,,,,,,,,,,,,,,,,,,32,,,,,,,,,63,,,,,16,,,,,,,,,,,,,,,,
FANCY,TWICE (트와이스),,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I Bet You Think About Me (feat. Chris Stapleton) (Taylor’s Version) (From the Vault),Taylor Swift,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,4,3,3,2,5,5
Curiosity,이달의 소녀 (Loona),,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPR,cupcakKe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,,
Ice Cream Cake,Red Velvet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,16,,8,59,55,57,,,,,,,,,,20,,23,,
What the Hell,Avril Lavigne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,17,,,,,,,,,31,,,,,,,,,,32,
Love in the Dark,Adele,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,19,,,,,
Shoot Me,DAY6,,,,,,,,,,,,,,4,3,,,,,,,,,,,,,,,,,,27,,,,,,,,33,,,,,,,,,,,,,
Two Is Better Than One (feat. Taylor Swift),Boys Like Girls,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,37,,,,,,,,,,,,,,16,,,,,,,,,,,
22 (Taylor's Version),Taylor Swift,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,18,25,,,94,2
Baby Blue Love,TWICE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,
Tag Me (@Me),Weeekly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,,,24,,,,,,,,,,,,,,,,,,
hoax,Taylor Swift,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,
Give Your Heart a Break,Demi Lovato,,,,,,,,,,11,,,,6,,,,8,18,,,44,,,,,,,,,31,,,35,,,,,,,,,,,,,,,,,,,,
E.T.,Katy Perry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,,,,,
You Are in Love,Taylor Swift,,,,,,,,10,,,,,,,,,,4,,,,12,,,,,,,,,,16,,,25,,,46,36,35,,,,,19,,,,,,25,20,,
BRING IT BACK,TWICE (트와이스),,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Babe (feat. Taylor Swift),Sugarland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,,,,,,,,,,,
PITAPAT (DKDK),fromis_9,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,,,,60,,,,
Long Live,Florida Georgia Line,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
The Very First Night (Taylor's Version) (From the Vault),Taylor Swift,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,6,4,,11,13,81
coney island,Taylor Swift The National,,,,3,2,,2,,7,1,,2,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,
Moonlight,Ariana Grande,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,
Mr.Mr.,소녀시대,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,9,,,7,,76,,,,,32,,,,,,,,,,
TOUCH,NCT 127,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
love4eva (feat. Grimes),LOONA/yyxy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,44,,,,,,,,,,,,,
Only You,Cheat Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,
Everything Has Changed (feat. Ed Sheeran) (Taylor’s Version),Taylor Swift,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,41,,,92,
Don’t Blame Me,Taylor Swift,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,26,,36,,,,,,,,,,,18
KeePer (Prod. PARK KYUNG),THE BOYZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,,
Solar Power,Lorde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,22,,23,,,,,,,,,,,,,,
happiness,Taylor Swift,,,,4,3,4,4,11,35,,,7,,5,,,4,,,,,22,,56,20,,,,,21,,39,,,,,41,,,,,,37,63,,,,,,,27,8,,7
dal segno,LOONA/yyxy,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,25,,,,,,,,,,,,,,,,,,,,
Run (feat. Ed Sheeran) (Taylor’s Version) (From the Vault),Taylor Swift,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,3,6,,12,20,24
The Boys,Girls' Generation,,,,,,13,,,21,,,,,,23,,,29,,,,,,,,,24,,,,32,,,,,,,,79,,,,,,,,,,,,,,,
Tell Me Something I Don't Know,Selena Gomez & the Scene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,
Treacherous,Taylor Swift,,,,,,,,,,,,,,,,,,,,,,,,,,,5,14,,,,,23,,,,,,,45,,,,51,,,22,,,,,,,
tolerate it,Taylor Swift,,,,,,,3,,,,,,,28,,,,24,,,,37,,57,21,,,,,,,,,,,,43,,,,,,,65,,,,,,,,88,,
De Una Vez,Selena Gomez,,,,,,10,,,23,,11,,15,,,,,,,,,39,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This Is What You Came For (feat. Rihanna),Calvin Harris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,,29,,,,,,,,83,,,,,,,,,,,,,,,
TO BE OR NOT TO BE,ONEUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,
Perfect World,TWICE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,
One Last Time,Ariana Grande,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,30
365,Loona,,,,,,,,,,,,,,,,,,,,,,,22,,,1,,,,,,,,3,,,,20,,,,,,,,,,,,,,,,
About Love,Red Velvet,,,,,8,,,,,,,,,,,,,,25,,,,,,,,,,24,,,,,,,,,57,,,,,,,,,,,,,,,,
august,Taylor Swift,,,,,,,7,,37,,,8,16,,,,,,,,,,,,,,28,,58,,22,,,,,,,,,,,,38,,,,,,,18,,,,
favOriTe,Loona,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41
Umbrella,Rihanna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,65,,49,,,,56,,,,,,,,,81,
LOVE BOMB,fromis_9,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,51,,,,29,,,,,,,,,,,,,,,43,,
Back to December,Taylor Swift,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,6,9
Minecraft,C418,,,,,,,,,,,,,3,,,,,,,,,,,37,,,,,,,,,,,,26,,,,,,,,,,,,,,,,,,
West Coast,Lana Del Rey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,19,4,,,,20,,,,,,,,,,,
Summertime Sadness,Lana Del Rey,,,,,,,,,,7,,,,,,,,30,52,,,,,,,,,,,,28,,,,,,,,,,,,,,,,,,,,,,,53
Hung Up,Madonna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,,,,,,,,,,95
coney island (feat. The National),Taylor Swift,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,32,,,,39,49,,,,,,61,,,,,,,,86,,
Hallucinate,Dua Lipa,,,,,,,,,,,,,,,16,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heart Attack (츄),Loona,,,,,,,,,,,,,,,,,,,,,10,46,20,,,17,,,,,,,48,54,,,,,,,46,,,,,,,,,,,,,
คนแบบไหน - เพลงประกอบซีรีส์ ปลาบนฟ้า,มิกซ์ สหภาพ,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,2,,,,,,,,,,,,,,,,,,,,,,,,,
I Wish You Would,Taylor Swift,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,
Fergalicious,Fergie,,,,,,,,,,,13,,,,,,8,,43,,,,,,,,25,,,,30,,66,,,,,,42,,,24,,39,,,,,,,,,87,
Freedom (feat. Kendrick Lamar),Beyoncé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,
Be Natural (feat. 태용 TAEYONG),Red Velvet (레드벨벳),,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Womanizer,Britney Spears,,,,,,,,,,,18,,,,25,,,5,13,17,19,53,,,,,,,7,,,,,16,,,,28,,48,,23,,57,,,,,45,74,,,22,75
exile (feat. Bon Iver),Taylor Swift,,,,9,,18,,,42,,,,18,,,,,,,,,,,,,,,,60,,25,,,,,,,,,,,,,,,,,,,,,,,
I Think He Knows,Taylor Swift,,,,,,12,,3,30,,,,,,,,,,,,,35,,,,,,,,,,,,,,36,,,,,50,,,,,,,19,,,,49,,
Timber (feat. Ke$ha),Pitbull,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,58,,,,,,,,,46,,,,59,
HIT,Seventeen,,1,11,,,,5,,41,,,,,24,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
We Go Up,NCT DREAM,,,,,,,,,,,,,,,11,,,,,,,49,,,,,,,,,,,,,,,,50,,,,,,,,,,,,61,,,,
Black Magic,Little Mix,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,60,,31,,,,,,,,15,,,,,,,,,46,12
cardigan,Taylor Swift,,,,7,,3,,,12,,,,4,,,,,,,,,,,,30,,,,61,,26,,,,,,,,,,,,,,,,,,,,,,,
Sweden,C418,,,,,,,,,,,,,,,,,,,,,,,,29,,,,,,,,,,,,28,,,,,,,,,,,,,,,,,,
Lose You to Love Me,Selena Gomez,,,,,,,,,,,,,,,,,,3,,,,,,8,,,19,,,,,,,,,,,41,,,,,,,,,,,,,,,,
BDZ,TWICE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,9,,,,,,,,,,,,,55,,,,
The 7th Sense,NCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,
Baby,Madison Beer,,,,,,,,,,,,,,18,,,,,,,,25,,,,,,,,,,,,,,,,,39,,,,,,,,,,,,,,,
Salute,Little Mix,,,,,,,,,,,,,,,,,15,,51,,,,,,,,32,,,,36,,,43,,32,,,,,,,52,11,,,,,,,,,45,96
the lakes - bonus track,Taylor Swift,,,,,,,,,,,,,13,26,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,,,,,,,,,,,,
Bubble Pop!,HyunA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,
Good Time,Owl City,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,27,,70,,,,,,75,55,,,,,,,,,,,,,70,
PTT (Paint the Town),Loona,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,12,,,,15,49,,,31,,,,,,,,,,,,,,,,,
enough for you,Olivia Rodrigo,,,,,,,,,,,,,,,,,,,,,,,11,19,,,37,,46,,,28,,,,,,47,48,,,,,,,,,,,75,,,,65
AS IF IT'S YOUR LAST,BLACKPINK,,,,,,,,5,29,9,,,,,,,,,42,,26,,,,,,,,,,,,,,32,,33,43,,,,,,34,,,,,,19,,,,
Monster,Red Velvet - IRENE & SEULGI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,,,,,,,,,,,,,
Chaotic,이달의 소녀 오드아이써클 (LOONA/ODD EYE CIRCLE),,,,,,,,,,,,,,,,,,,,,,,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Too Well (Taylor's Version),Taylor Swift,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,1,2,2,,76,,3
favorite crime,Olivia Rodrigo,,,,,,,,,,,,,,,,,,,,,,,8,16,,,,,43,17,,25,,,,22,,,46,,,,,,,,,,,,,,,63
Breathe (feat. Colbie Caillat) (Taylor’s Version),Taylor Swift,,,,,,,,,,,,,,,,10,,,,22,8,,,50,,,,,,,,,,,,,59,,43,,,,,,,,,,,,,58,27,
Locked Out of Heaven,Bruno Mars,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,1,5,,,,,8,,,,,20,,,,,,34,,,,
We Don't Talk Anymore (feat. Selena Gomez),Charlie Puth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,42,
Nothing New (feat. Phoebe Bridgers) (Taylor’s Version) (From the Vault),Taylor Swift,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,12,8,4,4,3,21
jealousy jealousy,Olivia Rodrigo,,,,,,,,,,,,,,,,,,,,,,,9,17,,,,,44,,,26,,,,,,,10,7,,,6,,,,,,,,,,,31
The Boys,Nicki Minaj,,,,,,,,,22,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Popular Song,Mika,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,,
Counting Stars,OneRepublic,,,,,,,,,,,15,,,,,,,15,,31,,,,,,,,,,,,,,,,,,,,,,,,53,,,,,,,,,,
We're Good,Dua Lipa,,,,,,,,,27,,7,,,,,,,,,,7,54,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slow Down,Selena Gomez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,,,,,,,66,,
U R,Loona,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,18,,,,,,,,,,,,,,,,,,,,
deja vu,Olivia Rodrigo,,,,,,,,,,,,,,,,,,,,,,4,2,5,25,,39,,48,,,30,,,,23,,,50,16,,,,,,,,,,30,,,,32
Déjà Vu,NCT DREAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,
betty,Taylor Swift,,,,,,,,,,,,,,,,,,,,,,,16,,,,29,,55,,19,,,,,,,,,,,,,,,,,,,,,,,
LALALA,TWICE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,12,,13,,,,,,,,,,,,,,,,,
Oh My God,(G)I-DLE,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,33,,,,,,,,,,,,,,,,,,,,,,,
safety net (feat. Ty Dolla $ign),Ariana Grande,,,,,1,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,
The Last Time (feat. Gary Lightbody of Snow Patrol) (Taylor’s Version),Taylor Swift,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,45,,,93,
Bye Bye Baby (Taylor’s Version) (From the Vault),Taylor Swift,,,,,,,,,,,,,,,,,,,33,26,,,,42,,,,,,,,,,,,21,,,,,,,,,,,18,,,,,59,,
Why Not?,Loona,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,51,,,,,,,,,,,,,,,,59,,,,
Forever Winter (Taylor's Version) (From the Vault),Taylor Swift,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,1,1,1,1,1
Roar,Katy Perry,,,,,,,,,,,,,,,,,,,,,,,,26,,,3,,,,,,18,2,,,,,,,,,,,,,,,,,,,43,98
Work,Rihanna,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,35,,,,,,,,,,,,,,,,
Telephone,Lady Gaga,,,2,,,17,,,9,,6,,,,,,,16,,,,,,,,,11,,,,,,,,,,,,22,,,,,24,,,,,,63,,,,
Hell Nos and Headphones,Hailee Steinfeld,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kura Kura,TWICE,,,,,,,,,,,,,,,,,,,,,1,6,,,,,,7,,,,20,,,,,30,,,,,,,,,,,,,57,,,,
Renegade (feat. Taylor Swift),Big Red Machine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,
Valkyrie,ONEUS,,,8,,,,,8,,,,,,16,21,,,,37,,,,,,,,,,,,34,,,,,47,,,,,,,,,,,,,,,,,,
Sweet but Psycho,Ava Max,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIROH,Stray Kids,,,4,,,,,,,,,,,,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFERNO,Sub Urban,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,
Wonderland,Taylor Swift,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,
SAY SOMETHING,TWICE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,
Shake It Off,Taylor Swift,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,21,,9,,,,,,,,,
The Lucky One (Taylor's Version),Taylor Swift,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,42,,74,36,88
Secret Love Song (feat. Jason Derulo),Little Mix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,10,,,,,,,33,,,,,,,24,,,49,
Picture to Burn,Taylor Swift,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,,,,,,34,,47,,,17,,,56,,,,,
thank u next,Ariana Grande,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,
FANCY,TWICE,,,,,,,,9,4,,,,,,,,,,3,,,,,,,,,24,,,,37,,,,,32,,61,36,,,,,,,,,,62,,82,,
SAY YOU LOVE ME,TWICE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,13,,14,,,14,22,,,,,,,,,,,27,,
Dear John,Taylor Swift,,,,,,,13,,,,,,,,,,,,,,,,,,,,42,23,,,,,,,,,,,,,,,,,,,,,,,,,,
YOUNG & WILD,TWICE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,11,,12,,,,,,,,,,,,,,,,,
Forward (feat. James Blake),Beyoncé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,
peace,Taylor Swift,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,54,,18,,,,,,,,,,,,17,,,,,,,,,,,
Move,Little Mix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,47,
Supercut,Lorde,,,,,,,,,,,,,,,,,,,,,,,,,,7,41,,64,,,,40,,,,,,,39,,,,,,,,,57,,,,,
Eyes Locked Hands Locked,Red Velvet,,,,,,,,,,12,,,,,,,,,39,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,
Girl on Fire,Alicia Keys,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16
Holy Ground (Taylor's Version),Taylor Swift,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,44,,,38,90
HO!,TWICE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,
Wildest Dreams (Taylor's Version),Taylor Swift,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,1,,1,,,,,14,,,,71
SCIENTIST,TWICE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,,,
The 7th Sense,NCT U,,,,,,,,,,,,,,15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Me Gustas Tu,GFRIEND,,,10,,,,,7,,,,,,,,,,,,,,29,,,,,,,,,,,,,,41,,,,37,,,,,,,,,,,,45,,
Getting Older,Billie Eilish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,,,,,,,,,,,,,,,26
Touch It,Ariana Grande,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,79
make up,Ariana Grande,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,
My Sunday,Loona,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,15,,,,,,22,,,,,,,,,,,,48,,
BRING IT BACK,TWICE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,,47,,,,,,,,,,,,,,,,,
AFTER MOON,TWICE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,9,,10,,,,,,,,,,,,,,,,,
illicit affairs,Taylor Swift,,,,,,,,,,,,,,3,4,,,,15,,,,,,,,31,,57,,21,,,,,,,42,,,,,,,,,,,,,,,76,
Hold Up,Beyoncé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,,,,,,,,,,,,,,,,,,,,,,,,,
Change (Taylor’s Version),Taylor Swift,,,,,,,,,,,,,,,,,,,,,12,,,47,,,,,,,,,,,,,54,,,,,,,,,,,,,,,,23,
Red Flavor,Red Velvet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,2,,1,,33,,,,,,,,,,,,,,,8
Everything Has Changed,Taylor Swift,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,
Sober,Lorde,,,,,,,,,,,,,,,,,,,,,,,5,,,5,,29,9,4,,,25,,,,,,,,,,,,,4,,,23,,,,,
Guiltless,dodie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,3,,,,,,5,,,
You Belong with Me (Taylor’s Version),Taylor Swift,,,,,,,,,,,,,,,,2,,,7,9,,,,51,,,27,,,,,,57,,,,60,,44,3,11,,,,,,4,,52,72,,,28,
