Week,Position,Rise/Fall,Previous Rank,New Peak?,Total Weighted Points,%,Song,Artist,Album,Streams,Sales,Airplay,Streams Points,Sales Points,Airplay Points,Streams Units,Sales Units,Airplay Units,Streams %,Sales %,Airplay %,Total Units,Current Week Points,Previous Week Points,Two Weeks Ago Points,Peak,WOC,Album Cover
2025-04-11,72,'-19,53,False,41,-0.35,Asthenia,blink-182,blink-182,1,1,1,5,3,2,50000,3000,100000,0.33,0.02,0.65,153000,10,19,12,53,6,https://lastfm.freetls.fastly.net/i/u/300x300/66f1cec75fe04b7c869712c55fd24528.png
2025-04-11,73,RE,--,False,41,--,Love Story (Taylor’s Version),Taylor Swift,Fearless (Taylor's Version),4,4,1,20,12,2,200000,12000,100000,0.64,0.04,0.32,312000,34,0,7,1,54,https://lastfm.freetls.fastly.net/i/u/300x300/1aaa3638ee0bfee0ba8089c78ad63b26.jpg
2025-04-11,74,'-19,55,False,41,-0.33,I'm Lost Without You,blink-182,blink-182,1,1,1,5,3,2,50000,3000,100000,0.33,0.02,0.65,153000,10,19,12,55,6,https://lastfm.freetls.fastly.net/i/u/300x300/66f1cec75fe04b7c869712c55fd24528.png
2025-04-11,75,'-19,56,False,41,-0.33,Here's Your Letter,blink-182,blink-182,1,1,1,5,3,2,50000,3000,100000,0.33,0.02,0.65,153000,10,19,12,56,6,https://lastfm.freetls.fastly.net/i/u/300x300/66f1cec75fe04b7c869712c55fd24528.png
2025-04-11,76,'-19,57,False,41,-0.33,All of This,blink-182,blink-182,1,1,1,5,3,2,50000,3000,100000,0.33,0.02,0.65,153000,10,19,12,57,6,https://lastfm.freetls.fastly.net/i/u/300x300/66f1cec75fe04b7c869712c55fd24528.png
2025-04-11,77,'-18,59,False,41,-0.33,Stockholm Syndrome Interlude,blink-182,blink-182,1,1,1,5,3,2,50000,3000,100000,0.33,0.02,0.65,153000,10,19,12,59,6,https://lastfm.freetls.fastly.net/i/u/300x300/66f1cec75fe04b7c869712c55fd24528.png
2025-04-11,78,'+3,81,False,38,0.09,21 Guns,Green Day,21st Century Breakdown,1,1,1,5,3,2,50000,3000,100000,0.33,0.02,0.65,153000,10,11,17,1,35,https://lastfm.freetls.fastly.net/i/u/300x300/72a314e1e9064a0418159b144fe1ad72.jpg
2025-04-11,79,'+12,91,False,37,0.09,Psycho,Maisie Peters,You Signed Up For This,3,3,1,15,9,2,150000,9000,100000,0.58,0.03,0.39,259000,26,11,0,14,14,https://lastfm.freetls.fastly.net/i/u/300x300/1897b73a7f3738702c40a27c84dbca99.jpg
2025-04-11,80,'-19,61,False,36,-0.38,The Bolter,Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2,2,1,10,6,2,100000,6000,100000,0.49,0.03,0.49,206000,18,18,0,4,25,https://lastfm.freetls.fastly.net/i/u/300x300/3e9934e3815f2949acc34415d8931aea.jpg
2025-04-11,81,NEW,--,True,34,--,Astronaut,Simple Plan,Get Your Heart On! (Deluxe Edition),4,4,1,20,12,2,200000,12000,100000,0.64,0.04,0.32,312000,34,0,0,81,1,https://lastfm.freetls.fastly.net/i/u/300x300/30a16584138b41e8b8753314724c12b0.jpg
