Week,Song Name,Artist Name,Streams,Sales,Airplay
2021-08-20,BOOMBAYAH,BLACKPINK,1,1,1
2021-08-20,Hello,Joy,1,1,1
2021-08-20,Like Water,Wendy,1,1,1
2021-08-20,Naughty,Red Velvet - IRENE & SEULGI,1,1,1
2021-08-20,Monster,Red Velvet - IRENE & SEULGI,1,1,1
2021-08-20,SAPPY,Red Velvet,1,1,1
2021-08-20,Umpah Umpah,Red Velvet,1,1,1
2021-08-20,RBB (Really Bad Boy),Red Velvet,1,1,1
2021-08-20,Power Up,Red Velvet,1,1,1
2021-08-20,#Cookie Jar,Red Velvet,1,1,1
2021-08-20,We Are Never Ever Getting Back Together,Taylor Swift,1,1,1
2021-08-20,Trini Dem Girls (feat. LunchMoney Lewis),Nicki Minaj,1,1,1
2021-08-20,Be Natural,Red Velvet,1,1,1
2021-08-20,Bad Boy,Red Velvet,1,1,1
2021-08-20,7월 7일 One of These Nights,Red Velvet,1,1,1
2021-08-20,러시안 룰렛 Russian Roulette,Red Velvet,1,1,1
2021-08-20,Rookie,Red Velvet,1,1,1
2021-08-20,Dumb Dumb,Red Velvet,1,1,1
2021-08-20,Peek-A-Boo,Red Velvet,1,1,1
2021-08-20,Automatic,Red Velvet,1,1,1
2021-08-20,Ice Cream Cake,Red Velvet,1,1,1
2021-08-20,행복 (Happiness),Red Velvet,1,1,1
2021-08-20,Oceanic Feeling,Lorde,1,1,1
2021-08-20,Leader of a New Regime,Lorde,1,1,1
2021-08-20,Big Star,Lorde,1,1,1
2021-08-20,Dominoes,Lorde,1,1,1
2021-08-20,The Man With the Axe,Lorde,1,1,1
2021-08-20,Secrets from a Girl (Who's Seen It All),Lorde,1,1,1
2021-08-20,Fallen Fruit,Lorde,1,1,1
2021-08-20,Stoned at the Nail Salon,Lorde,1,1,1
2021-08-20,California,Lorde,1,1,1
2021-08-20,Solar Power,Lorde,2,2,1
2021-08-20,The Path,Lorde,1,1,1
2021-08-20,tyl,kakie,1,1,1
2021-08-20,Good Love Your Love,Deep Squad,2,2,1
2021-08-20,産声,Omoinotake,2,2,1
2021-08-20,The Archer,Taylor Swift,1,1,1
2021-08-20,Hello Sunset,Red Velvet,1,1,1
2021-08-20,Pushin' N Pullin',Red Velvet,1,1,1
2021-08-20,Better Be,Red Velvet,1,1,1
2021-08-20,Knock On Wood,Red Velvet,1,1,1
2021-08-20,Pose,Red Velvet,1,1,1
2021-08-20,As you Wish,WJSN,1,1,1
2021-08-20,Boogie Up,WJSN,1,1,1
2021-08-20,La La Love,WJSN,1,1,1
2021-08-20,Save Me Save You,WJSN,1,1,1
2021-08-20,Dreams Come True,WJSN,1,1,1
2021-08-20,Happy,WJSN,1,1,1
2021-08-20,I Wish,WJSN,1,1,1
2021-08-20,Secret,WJSN,1,1,1
2021-08-20,MoMoMo,WJSN,1,1,1
2021-08-20,NONSTOP,OH MY GIRL,1,1,1
2021-08-20,Guerilla,OH MY GIRL,1,1,1
2021-08-20,BUNGEE (Fall In Love),OH MY GIRL,1,1,1
2021-08-20,5th Season (SSFWL),OH MY GIRL,1,1,1
2021-08-20,Remember Me,OH MY GIRL,1,1,1
2021-08-20,Banana allergy monkey,OH MY GIRL BANHANA,1,1,1
